Dia_Hora,Prod_Acumulada,Scrap_Acumulado,Eficiencia_Global_%
Día 1 01:00,6924,106,98.47
Día 1 02:00,14712,214,98.55
Día 1 03:00,22500,303,98.65
Día 1 04:00,30276,416,98.63
Día 1 05:00,38052,504,98.68
Día 1 06:00,45828,591,98.71
Día 1 07:00,53580,694,98.70
Día 1 08:00,61356,768,98.75
Día 1 09:00,69084,850,98.77
Día 1 10:00,76884,950,98.76
Día 1 11:00,84624,1037,98.77
Día 1 12:00,92364,1149,98.76
Día 1 13:00,100104,1238,98.76
Día 1 14:00,107868,1329,98.77
Día 1 15:00,115644,1425,98.77
Día 1 16:00,123432,1525,98.76
Día 1 17:00,131220,1628,98.76
Día 1 18:00,138984,1732,98.75
Día 1 19:00,146712,1833,98.75
Día 1 20:00,154452,1942,98.74
Día 1 21:00,162240,2030,98.75
Día 1 22:00,170016,2123,98.75
Día 1 23:00,177756,2235,98.74
Día 2 00:00,185532,2326,98.75
Día 2 01:00,193320,2434,98.74
Día 2 02:00,201036,2541,98.74
Día 2 03:00,208812,2626,98.74
Día 2 04:00,216576,2735,98.74
Día 2 05:00,224328,2826,98.74
Día 2 06:00,232080,2935,98.74
Día 2 07:00,239820,3025,98.74
Día 2 08:00,247596,3118,98.74
Día 2 09:00,255360,3217,98.74
Día 2 10:00,263088,3313,98.74
Día 2 11:00,270864,3407,98.74
Día 2 12:00,278676,3511,98.74
Día 2 13:00,286428,3595,98.74
Día 2 14:00,294156,3694,98.74
Día 2 15:00,301920,3781,98.75
Día 2 16:00,309708,3886,98.75
Día 2 17:00,317472,3998,98.74
Día 2 18:00,325248,4112,98.74
Día 2 19:00,333000,4202,98.74
Día 2 20:00,340776,4301,98.74
Día 2 21:00,348528,4398,98.74
Día 2 22:00,356268,4499,98.74
Día 2 23:00,364068,4602,98.74
Día 3 00:00,371832,4698,98.74
Día 3 01:00,379596,4785,98.74
Día 3 02:00,387372,4883,98.74
Día 3 03:00,395136,4978,98.74
Día 3 04:00,402888,5078,98.74
Día 3 05:00,410676,5173,98.74
Día 3 06:00,418368,5279,98.74
Día 3 07:00,426132,5407,98.73
Día 3 08:00,433920,5510,98.73
Día 3 09:00,441696,5610,98.73
Día 3 10:00,449472,5710,98.73
Día 3 11:00,457248,5811,98.73
Día 3 12:00,465024,5900,98.73
Día 3 13:00,472776,5995,98.73
Día 3 14:00,480492,6109,98.73
Día 3 15:00,488280,6225,98.73
Día 3 16:00,496032,6333,98.72
Día 3 17:00,503808,6432,98.72
Día 3 18:00,511536,6535,98.72
Día 3 19:00,519324,6625,98.72
Día 3 20:00,527088,6719,98.73
Día 3 21:00,534876,6817,98.73
Día 3 22:00,542604,6893,98.73
Día 3 23:00,550368,6993,98.73
Día 4 00:00,558132,7088,98.73
Día 4 01:00,565908,7178,98.73
Día 4 02:00,573660,7293,98.73
Día 4 03:00,581424,7381,98.73
Día 4 04:00,589200,7485,98.73
Día 4 05:00,596976,7588,98.73
Día 4 06:00,604740,7680,98.73
Día 4 07:00,612492,7779,98.73
Día 4 08:00,620256,7869,98.73
Día 4 09:00,628032,7966,98.73
Día 4 10:00,635820,8054,98.73
Día 4 11:00,643596,8165,98.73
Día 4 12:00,651312,8267,98.73
Día 4 13:00,659088,8372,98.73
Día 4 14:00,666864,8460,98.73
Día 4 15:00,674604,8558,98.73
Día 4 16:00,682368,8660,98.73
Día 4 17:00,690120,8748,98.73
Día 4 18:00,697872,8860,98.73
Día 4 19:00,705660,8944,98.73
Día 4 20:00,713424,9045,98.73
Día 4 21:00,721200,9126,98.73
Día 4 22:00,728988,9227,98.73
Día 4 23:00,736752,9328,98.73
Día 5 00:00,744504,9410,98.74
Día 5 01:00,752244,9514,98.74
Día 5 02:00,760020,9629,98.73
Día 5 03:00,767796,9745,98.73
Día 5 04:00,775572,9834,98.73
Día 5 05:00,783348,9919,98.73
Día 5 06:00,791112,10012,98.73
Día 5 07:00,798876,10120,98.73
Día 5 08:00,806652,10213,98.73
Día 5 09:00,814416,10319,98.73
Día 5 10:00,822132,10411,98.73
Día 5 11:00,829932,10523,98.73
Día 5 12:00,837720,10617,98.73
Día 5 13:00,845520,10709,98.73
Día 5 14:00,853284,10815,98.73
Día 5 15:00,861012,10921,98.73
Día 5 16:00,868788,11022,98.73
Día 5 17:00,876516,11116,98.73
Día 5 18:00,884280,11207,98.73
Día 5 19:00,892044,11290,98.73
Día 5 20:00,899832,11384,98.73
Día 5 21:00,907596,11460,98.74
Día 5 22:00,915372,11565,98.74
Día 5 23:00,923112,11654,98.74
Día 6 00:00,930888,11750,98.74
Día 6 01:00,938664,11851,98.74
Día 6 02:00,946440,11945,98.74
Día 6 03:00,954228,12044,98.74
Día 6 04:00,961968,12145,98.74
Día 6 05:00,969756,12236,98.74
Día 6 06:00,977532,12325,98.74
Día 6 07:00,985236,12424,98.74
Día 6 08:00,993012,12535,98.74
Día 6 09:00,1000764,12655,98.74
Día 6 10:00,1008552,12749,98.74
Día 6 11:00,1016304,12847,98.74
Día 6 12:00,1024056,12951,98.74
Día 6 13:00,1031832,13059,98.73
Día 6 14:00,1039644,13158,98.73
Día 6 15:00,1047384,13238,98.74
Día 6 16:00,1055160,13329,98.74
Día 6 17:00,1062948,13412,98.74
Día 6 18:00,1070688,13491,98.74
Día 6 19:00,1078428,13595,98.74
Día 6 20:00,1086228,13692,98.74
Día 6 21:00,1094004,13794,98.74
Día 6 22:00,1101780,13901,98.74
Día 6 23:00,1109544,13996,98.74
Día 7 00:00,1117284,14103,98.74
Día 7 01:00,1125048,14225,98.74
Día 7 02:00,1132812,14336,98.73
Día 7 03:00,1140588,14411,98.74
Día 7 04:00,1148364,14520,98.74
Día 7 05:00,1156140,14598,98.74
Día 7 06:00,1163904,14688,98.74
Día 7 07:00,1171620,14795,98.74
Día 7 08:00,1179408,14889,98.74
Día 7 09:00,1187172,14976,98.74
Día 7 10:00,1194948,15071,98.74
Día 7 11:00,1202748,15167,98.74
Día 7 12:00,1210512,15260,98.74
Día 7 13:00,1218264,15368,98.74
Día 7 14:00,1226040,15474,98.74
Día 7 15:00,1233816,15561,98.74
Día 7 16:00,1241568,15679,98.74
Día 7 17:00,1249344,15769,98.74
Día 7 18:00,1257072,15857,98.74
Día 7 19:00,1264884,15947,98.74
Día 7 20:00,1272636,16051,98.74
Día 7 21:00,1280376,16139,98.74
Día 7 22:00,1288152,16234,98.74
Día 7 23:00,1295928,16326,98.74
