Timestamp,Linea,Accion,Duracion,Salud_Final
2026-02-19 14:42:33,2,Calibraciµn Torque,10,100.0
2026-02-19 14:42:39,1,Calibraciµn Torque,10,100.0
2026-02-19 14:43:18,4,Calibraciµn Torque,10,100.0
2026-02-19 14:43:27,1,Soft Reset,3,75.0
2026-02-24 14:11:47,1,Soft Reset,3,75.0
2026-02-24 14:12:06,3,Calibraciµn Torque,10,100.0
2026-02-24 14:12:16,1,Cambio Servomotor,20,100.0
2026-02-24 14:12:28,1,Cambio Servomotor,20,100.0
2026-02-24 16:14:11,1,Cambio Servomotor,20,100.0
2026-02-25 02:05:59,1,Limpieza Sensor,5,100.0
2026-02-25 02:06:05,1,Cambio Servomotor,20,100.0
2026-02-25 17:09:58,1,Cambio Servomotor,20,100.0
2026-02-26 13:17:57,1,Calibraciµn Torque,10,100.0
2026-02-26 13:59:55,1,Soft Reset,3,75.0
2026-02-26 13:59:58,1,Soft Reset,3,75.0
2026-02-26 13:59:59,1,Soft Reset,3,75.0
2026-02-26 13:59:59,1,Soft Reset,3,75.0
2026-02-26 14:00:00,1,Soft Reset,3,75.0
2026-03-05 14:41:18,1,Limpieza Sensor,5,100.0
2026-03-05 14:41:28,2,Limpieza Sensor,5,100.0
2026-03-05 19:29:14,1,Soft Reset,3,75.0
2026-03-05 19:36:17,1,Soft Reset,3,75.0
2026-03-05 19:36:33,1,Soft Reset,3,75.0
2026-03-05 19:36:33,1,Soft Reset,3,75.0
2026-03-05 19:36:34,1,Soft Reset,3,75.0
2026-03-05 20:27:10,1,Toda la lûÙnea,Soft Reset,3,75.0
2026-03-05 20:27:30,2,Toda la lûÙnea,Soft Reset,3,75.0
2026-03-05 20:28:00,1,Toda la lûÙnea,Limpieza Sensor,5,100.0
2026-03-05 20:37:32,1,Fastening 2,Limpieza Sensor,5,100.0
2026-03-05 20:37:52,2,Tim dispensing,Soft Reset,3,75.0
